Index,Artist,Album,Released,Length,Genres,Millions sold,Claimed Sales (millions),Released,Soundtrack,Rating
0,"Michael
Jackson",Thriller,1982,0:42:19,"pop, rock, R&B",46,65,30-Nov-82,NaN,10
1,AC/DC,Back in Black,1980,0:42:11,hard rock,26.1,50,25-Jul-80,NaN,9.5
2,Pink Floyd,"The Dark Side of the
Moon",1973,0:42:49,progressive rock,24.2,45,01-Mar-73,NaN,9
3,"Whitney
Houston",The Bodyguard,1992,0:57:44,"R&B, soul, pop",27.4,44,17-Nov-92,Y,8.5
4,Meat Loaf,Bat Out of Hell,1977,0:46:33,"hard rock,
progressive rock",20.6,43,21-Oct-77,NaN,8
5,Eagles,"Their Greatest Hits
(1971-1975)",1976,0:43:08,"rock, soft rock,
folk rock",32.2,42,17-Feb-76,NaN,7.5
6,Bee Gees,Saturday Night Fever,1977,1:15:54,disco,20.6,40,15-Nov-77,Y,7
7,"Fleetwood
Mac",Rumours,1977,0:40:01,soft rock,27.9,40,04-Feb-77,NaN,6.5
